GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.config,SecurityConfig,13,144,0,0,1,25,2,11,2,11
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.config,DataLoader,0,114,0,0,0,30,0,3,0,3
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.config,SwaggerConfig,0,50,0,0,0,17,0,2,0,2
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.entity,Cliente,0,5,0,0,0,2,0,1,0,1
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.entity,Restaurante,0,5,0,0,0,2,0,1,0,1
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.entity,Usuario,4,28,2,2,1,6,3,6,1,6
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.enums,StatusPedido,0,56,0,0,0,11,0,3,0,3
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.enums,Role,0,27,0,0,0,5,0,1,0,1
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.service,ClienteService,7,141,2,4,1,29,2,11,0,10
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.service,UserDetailsServiceImpl,15,3,0,0,2,1,2,1,2,1
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.service,PedidoService,47,145,5,5,4,32,9,5,4,5
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.service,RelatorioService,0,64,0,2,0,16,0,5,0,4
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.service,RestauranteService,71,115,2,2,11,29,6,7,4,7
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.service,AuthService,11,108,2,2,1,33,3,3,1,3
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.service,ProdutoService,38,158,3,3,3,39,6,8,3,8
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.validation,TelefoneValidator,0,29,2,6,0,6,2,5,0,3
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.validation,CepValidator,0,24,1,5,0,4,1,4,0,2
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.validation,CategoriaValidator,0,47,1,3,0,5,1,4,0,3
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.exceptions,GlobalExceptionHandler,66,71,0,0,24,24,3,4,3,4
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.exceptions,ConflictException,0,4,0,0,0,2,0,1,0,1
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.exceptions,ValidationErrorResponse,43,0,0,0,14,0,9,0,9,0
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.exceptions,BusinessException,0,9,0,0,0,4,0,2,0,2
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.exceptions,EntityNotFoundException,0,9,0,0,0,4,0,2,0,2
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.dto,RestauranteResponseDTO,0,23,0,0,0,7,0,1,0,1
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.dto,ClienteResponseDTO,0,27,0,0,0,8,0,1,0,1
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.dto,PedidoResponseDTO,10,38,1,1,2,11,1,1,0,1
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.dto,ProdutoResponseDTO,0,31,0,0,0,9,0,1,0,1
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API,ProjetoDeliveryApiApplication,5,3,0,0,2,1,1,1,1,1
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.controller,HealthController,0,24,0,0,0,5,0,3,0,3
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.controller,RelatorioController,12,3,0,0,2,1,2,1,2,1
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.controller,PedidoController,13,19,0,0,2,4,2,3,2,3
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.controller,AuthController,24,9,0,0,8,2,2,2,2,2
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.controller,HealthController.AppInfo,0,18,0,0,0,1,0,1,0,1
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.controller,ProdutoController,51,0,0,0,11,0,8,0,8,0
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.controller,RestauranteController,13,38,0,0,2,9,2,6,2,6
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.controller,ClienteController,116,0,4,0,34,0,10,0,8,0
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.security,JwtUtil,12,119,4,4,2,28,4,10,0,10
Projeto-Delivery-API,com.delivery_api.Projeto.Delivery.API.security,JwtAuthenticationFilter,54,14,9,1,13,5,5,2,0,2
